Date/Time,Word Count,en,gu,hi,ko,ml,pt
2024.03.20-19.03.48,0,0,0,0,0,0,0
2024.03.20-19.15.07,86,86,0,0,0,0,0
2024.03.20-19.25.17,86,86,0,0,86,0,0
2024.03.20-19.31.17,86,86,0,0,86,0,10
2024.03.21-09.02.13,91,91,0,0,86,0,10
2024.03.21-09.04.44,120,120,0,0,86,0,10
2024.03.21-09.07.39,92,92,0,0,86,0,10
2024.03.21-09.42.32,105,105,0,0,86,0,10
2024.03.21-10.00.52,229,229,0,0,86,0,10
2024.03.21-10.53.55,118,118,0,0,86,0,10
2024.03.21-10.57.10,316,316,0,0,86,0,10
2024.03.21-11.32.53,320,320,0,0,96,0,10
2024.03.27-19.51.46,521,521,0,0,311,0,9
2024.03.28-09.23.29,521,521,0,0,521,0,9
2024.03.28-09.32.23,521,521,0,0,521,0,39
2024.03.28-10.27.22,521,521,0,136,521,0,521
2024.03.28-10.31.21,521,521,467,521,521,0,521
2024.03.28-10.31.57,521,521,521,521,521,0,521
2024.04.04-11.00.50,529,529,519,519,519,0,519
2024.04.04-11.21.04,529,529,519,519,519,15,519
2024.04.04-11.33.59,529,529,519,519,519,17,519
2024.04.05-10.52.07,529,529,519,519,519,18,519
2024.04.05-10.56.42,529,529,519,519,519,20,519
2024.04.10-17.47.10,529,529,519,519,519,465,519
2024.04.10-18.05.28,529,529,519,519,519,519,519
